Image_Url, Item_Name, Username, Rating_Score (Max Score is 5), Review_Date 
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Manu Black Panther,1.0 ,Italy on 15 July 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Luigi Guido,4.0 ,Italy on 6 April 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),LLV,5.0 ,Germany on 4 November 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Francesco Boes,5.0 ,Italy on 16 January 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Thomas Freud,5.0 ,Germany on 10 September 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),eLLeGi,5.0 ,Italy on 22 January 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),AG,1.0 ,Germany on 5 July 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Luigi,5.0 ,Italy on 9 July 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Davide Marra,4.0 ,Italy on 19 February 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),loris,5.0 ,Italy on 23 May 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Marcello P.,5.0 ,Italy on 11 August 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),ART FLY Hesselbarth,5.0 ,Germany on 29 July 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Gabriele Radini,5.0 ,Italy on 24 August 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Erwan Gueguen,5.0 ,France on 18 February 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Mariangela,4.0 ,Italy on 19 August 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Isidro Ruiz Vargas,1.0 ,Mexico on 28 March 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),marcoco69,1.0 ,Italy on 24 April 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),FraLOLfuuu,5.0 ,Italy on 27 January 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),hamidreza khalili,1.0 ,Italy on 22 February 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Stefano,4.0 ,Italy on 8 January 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Diego,5.0 ,Italy on 25 January 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Amanda,5.0 ,Canada on 14 June 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Robert Romiti,5.0 ,Italy on 3 May 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Sangeeth,5.0 ,Italy on 23 November 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Chicco Fanzecco,5.0 ,Italy on 7 May 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),SparkingJin,5.0 ,Italy on 1 February 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Apollo,5.0 ,Italy on 5 May 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Federico D.,4.0 ,Italy on 14 October 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),andrea,4.0 ,Italy on 15 April 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),MiticoSnake,5.0 ,Italy on 18 June 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Andrea Zaffanella,4.0 ,Italy on 5 March 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),JohnnyBeGood,5.0 ,Italy on 30 September 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Antonello R.,5.0 ,Italy on 5 November 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),old,3.0 ,Italy on 31 December 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Thomas #upme2,5.0 ,Italy on 16 September 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Franco S.,5.0 ,Italy on 18 August 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Bart,5.0 ,Italy on 15 September 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Cliente Amazon,5.0 ,Italy on 24 April 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Dario Cappellari,4.0 ,Italy on 24 April 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Zappioneer,5.0 ,Italy on 7 December 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Nicola Garau,5.0 ,Italy on 4 December 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Pc52,5.0 ,Italy on 12 February 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),simone,3.0 ,Italy on 4 March 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Angelo,4.0 ,Italy on 7 March 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Giuseppe,4.0 ,Italy on 17 April 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Ilaria,1.0 ,Italy on 5 May 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),EliTra,5.0 ,Italy on 19 January 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Faris Zupcevic,2.0 ,Germany on 27 September 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Nickpa,4.0 ,Italy on 4 January 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Giovanni Di Mauro,5.0 ,Italy on 27 June 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Visca GF.,1.0 ,Italy on 2 May 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Andrea Corradi,4.0 ,Italy on 16 November 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Elena,2.0 ,Italy on 10 June 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),XPG,1.0 ,Italy on 3 May 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Ko,1.0 ,Italy on 3 April 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Alessandro Lafratta,4.0 ,Italy on 27 April 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),FaLvision Editore,5.0 ,Italy on 20 June 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Pistakkio,4.0 ,Italy on 13 May 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),M. Mond,5.0 ,Mexico on 21 November 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),cruzing,3.0 ,Canada on 9 September 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Peppe Pascale,5.0 ,Italy on 29 July 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Francesco,5.0 ,Italy on 27 April 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),mwbitaly,5.0 ,Italy on 2 June 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Client d'Amazon,4.0 ,France on 4 May 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Mister Bumblebee,1.0 ,Germany on 16 September 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Giuls,5.0 ,Italy on 24 July 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Alfredo C.,5.0 ,Italy on 24 November 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),barbara,5.0 ,Italy on 27 April 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Alexi,4.0 ,Italy on 1 June 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Cristian,5.0 ,Italy on 9 February 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Claudio,5.0 ,Italy on 22 May 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Giuseppe Catone,4.0 ,Italy on 30 November 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),antonino benanti,5.0 ,Italy on 10 June 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Ian,5.0 ,Australia on 19 April 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Pedro Hernandez Bautista,2.0 ,Mexico on 21 October 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),jesus a.,5.0 ,Mexico on 19 December 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Sara,3.0 ,Italy on 16 September 2019
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Federico Pescara,5.0 ,Italy on 4 June 2018
